,ein,name,ico,street,city,state,zip,group,subsection,affiliation,classification,ruling,deductibility,foundation,activity,organization,status,tax_period,asset_cd,income_cd,filing_req_cd,pf_filing_req_cd,acct_pd,asset_amt,income_amt,revenue_amt,ntee_cd,sort_name
10,20256463,FREUDENBERG-NOK EMPLOYEES CREDIT UNION,,450 PLEASANT ST,BRISTOL,NH,03222-3012,3028,14,9,1000,197611,2,0,251000000,5,1,201901.0,6,3,1,0,1,2760388.0,69771.0,69771.0,,
11,20272024,HOLY ROSARY REGIONAL CREDIT UNION,,133 BROCK ST,ROCHESTER,NH,03867-4404,3028,14,9,1000,198005,2,0,921279000,5,1,201812.0,9,8,1,0,12,281975528.0,14336225.0,14336225.0,,
12,20331401,STATE OF NEW HAMPSHIRE BANKING DEPARTMENT,,53 REGIONAL DR STE 200,CONCORD,NH,03301-8500,3028,14,6,1000,197611,2,0,0,5,1,,9,9,3,0,12,,,,,
13,30182263,WHITE RIVER CREDIT UNION,% BANKING & INSURANCE DEPT,PO BOX 419,ROCHESTER,VT,05767-0419,0,14,3,1000,198612,2,0,921000000,1,1,201912.0,8,6,1,0,12,37895843.0,2094199.0,2047006.0,,
14,30184985,VERMONT STATE EMPLOYEES CREDIT UNION,% TERENCE FIELD,1 BAILEY AVE,MONTPELIER,VT,05602-3401,0,14,3,1000,198702,2,0,921000000,1,1,201912.0,9,8,1,0,12,842445629.0,43033738.0,43023253.0,,
15,30196668,RIVER VALLEY CREDIT UNION,% JILL FORTIER,PO BOX 8366,BRATTLEBORO,VT,05304-8366,0,14,1,1000,198701,2,0,921251000,1,1,201912.0,9,7,1,0,12,123946235.0,9433152.0,9175766.0,,
16,30197116,MEMBERS 1ST CREDIT UNION,% CEO,PO BOX 8245,BRATTLEBORO,VT,05304-8245,0,14,3,1000,198702,2,0,921251000,1,1,201912.0,8,6,1,0,12,14865643.0,1054855.0,1054855.0,,
17,30211361,CREDIT UNION OF VERMONT,% BRIAN FOGG,2 SOUTH MAIN ST,RUTLAND,VT,05701-4262,0,14,3,1000,198702,2,0,921279000,1,1,201912.0,9,6,1,0,12,51794216.0,2463499.0,2334661.0,,
18,30213165,GREEN MOUNTAIN CREDIT UNION,% GREEN MOUNTAIN CREDIT UNION,1250 SHELBURNE RD,S BURLINGTON,VT,05403-7783,0,14,3,1000,198701,2,0,921000000,1,1,201812.0,9,6,1,0,12,56218268.0,3511724.0,3511452.0,,
19,30321712,OPPORTUNITIES CREDIT UNION,% ANITA,25 WINOOSKI FALLS WAY SUITE 203 PO,WINOOSKI,VT,05404-2269,0,14,3,1000,198909,0,0,921000000,5,1,201812.0,8,6,1,0,12,38265091.0,3292847.0,3292847.0,,
20,36008252,ONE CREDIT UNION,% RHODA STEVENS,380 RIVER STREET,SPRINGFIELD,VT,05156-2245,0,14,3,1000,198703,2,0,921000000,1,1,201912.0,9,7,1,0,12,174974821.0,9478599.0,9478599.0,,
21,41020315,ALDEN CREDIT UNION,,710 GRATTAN ST,CHICOPEE,MA,01020-1255,0,14,3,1000,194505,2,0,922921279,3,1,201912.0,9,8,1,0,12,148245431.0,14684518.0,7187269.0,,
22,41046540,ATHOL CREDIT UNION,,513 MAIN ST,ATHOL,MA,01331-1825,0,14,3,1000,193501,2,0,922921000,5,1,201912.0,9,6,1,0,12,93689380.0,3878367.0,3728865.0,,
23,41103180,CITY OF BOSTON CREDIT UNION,,1 UNION STREET 3RD FLOOR,BOSTON,MA,02108-2421,0,14,3,1000,193601,2,0,0,1,1,201812.0,9,8,1,0,12,390949890.0,20190513.0,20190513.0,,
24,41104060,MASS BAY CREDIT UNION,,147 W 4TH ST,SOUTH BOSTON,MA,02127-1815,0,14,3,1000,0,0,0,0,5,1,201912.0,9,8,1,0,12,262292406.0,12727608.0,12727608.0,,
25,41106850,FIRST PRIORITY CREDIT UNION,,100 SWIFT ST,EAST BOSTON,MA,02128-1864,0,14,3,1000,193409,2,0,921279000,1,1,201912.0,9,6,1,0,12,105907823.0,4612455.0,4612455.0,,
26,41126132,BROTHERHOOD CREDIT UNION,,75 MARKET ST,LYNN,MA,01901-1111,0,14,3,1000,194205,2,0,922921000,1,1,201812.0,9,6,1,0,12,105972783.0,3115961.0,3115961.0,,
27,41144988,NAVEO CREDIT UNION,,493 SOMERVILLE AVE,SOMERVILLE,MA,02143-3246,0,14,3,1000,193410,2,0,921279000,1,1,201812.0,9,7,1,0,12,130867039.0,5337840.0,5337840.0,,
28,41163260,ALLCOM CREDIT UNION,% DENISE LESSARD,36 PARK AVE,WORCESTER,MA,01609-1720,0,14,3,1000,193411,2,0,922000000,1,1,201912.0,9,6,1,0,12,66975105.0,2732277.0,2732277.0,W61Z,
29,41217290,CRESCENT CREDIT UNION,,1300 BELMONT STREET,BROCKTON,MA,02301-4433,0,14,3,1000,192505,2,0,922921279,1,1,201812.0,9,8,1,0,12,438601837.0,18812127.0,18630554.0,,
30,41231965,JEANNE DARC CREDIT UNION,% SUSAN HANNIGAN,1 TREMONT PL,LOWELL,MA,01854-3658,0,14,3,1000,193501,2,0,922921279,5,1,201812.0,9,9,1,0,12,1388832412.0,63630365.0,63060835.0,,
31,41298900,FALL RIVER MUNICIPAL EMPLOYEES CREDIT UNION,% MATTHEW SCHONDEK,333 MILLIKEN BLVD,FALL RIVER,MA,02721-1603,0,14,3,1000,0,2,0,922921000,1,1,201912.0,9,7,1,0,12,212239825.0,8061760.0,8061760.0,,
32,41448660,HOLYOKE CREDIT UNION,% MICHAEL E MURPHY,490 WESTFIELD RD,HOLYOKE,MA,01040-1600,0,14,3,1000,194104,2,0,154000000,1,1,201912.0,9,8,1,0,12,205289367.0,36787615.0,11655369.0,,
33,41558025,LOWELL FIREFIGHTERS CREDIT UNION,% JAMES G OBRIEN TR,642 CHELMSFORD ST,LOWELL,MA,01851-4724,0,14,3,1000,194502,2,0,430264921,1,1,201812.0,8,5,1,0,12,16899511.0,759748.0,759748.0,W61Z,
34,41564035,MASSACHUSETTS POSTAL EMPLOYEES CREDIT UNION,,PO BOX 615,LYNN,MA,01903-0715,0,14,3,1000,193411,2,0,922921000,1,1,201912.0,8,6,1,0,12,22711000.0,1076853.0,1076853.0,,EMPLOYEE CREDIT UNION
35,41564245,LYNN TEACHERS CREDIT UNION,,181 UNION STREET SUITE 206F,LYNN,MA,01901-1311,0,14,3,1000,194606,2,0,922921279,5,1,201812.0,6,4,1,0,12,4596352.0,192651.0,192651.0,,
36,41659235,NEW BEDFORD CREDIT UNION,% MICHELLE GREENWALT,1150 PURCHASE ST,NEW BEDFORD,MA,02740-6635,0,14,3,1000,194204,2,0,921201279,1,1,201812.0,9,7,1,0,12,126480555.0,5242744.0,5242744.0,,
37,41680140,ALIGN CREDIT UNION,,40 MARKET ST,LOWELL,MA,01852-1806,0,14,3,1000,193810,2,0,59922921,1,1,201912.0,9,8,1,0,12,641056129.0,27329261.0,27329261.0,,
38,41695745,METRO CREDIT UNION,% ERIK M PORTER,200 REVERE BEACH PKWY,CHELSEA,MA,02150-1608,0,14,3,1000,194808,2,0,922921000,1,1,201812.0,9,9,1,0,12,1877534257.0,79251770.0,79251770.0,,
39,41734980,POLISH NATIONAL CREDIT UNION,% JAMES P KELLY,46 MAIN ST,CHICOPEE,MA,01020-1838,0,14,3,1000,193502,2,0,921279000,1,1,201912.0,9,8,1,0,12,615319959.0,22780451.0,22780451.0,,
40,41801000,COASTAL NEW ENGLAND FEDERAL CREDIT UNION,% MARCIE RULON,93 UNION ST,NEW BEDFORD,MA,02740-6361,0,14,3,1000,194111,2,0,921922279,1,1,201812.0,8,6,1,0,12,15751234.0,2358045.0,630868.0,,
41,41801520,ST JEANS CREDIT UNION,,370 HIGHLAND AVE,SALEM,MA,01970-1744,0,14,3,1000,193512,2,0,251000000,1,1,201912.0,9,8,1,0,12,269987626.0,13270557.0,13270557.0,,
42,41802000,ST MARYS CREDIT UNION INC,,PO BOX 729,MARLBOROUGH,MA,01752-0729,0,14,3,1000,197406,2,0,251000000,1,1,201912.0,9,9,1,0,12,875439295.0,68621075.0,33460786.0,,
43,41853650,SOUTHERN MASS CREDIT UNION,% JACKIE BOBOLA,123 ALDEN RD,FAIRHAVEN,MA,02719-4733,0,14,3,1000,193410,2,0,263264917,1,1,201812.0,9,7,1,0,12,221904247.0,8514322.0,8514322.0,,
44,41859290,GREATER SPRINGFIELD CREDIT UNION,% JENNIFER DANDURAND,1030 WILBRAHAM RD,SPRINGFIELD,MA,01109-2023,0,14,3,1000,194205,2,0,921000000,1,1,201812.0,9,7,1,0,12,163833095.0,6578695.0,6070353.0,,
45,41859607,SPRINGFIELD STREET RAILWAY EMPLOYEES CREDIT UNION,,640 PAGE BOULEVARD,SPRINGFIELD,MA,01104-3000,0,14,3,1000,193410,2,0,922000000,5,1,201912.0,6,3,1,0,12,1375284.0,97911.0,97911.0,,
46,41859690,ARRHA CREDIT UNION,,145 INDUSTRY AVE,SPRINGFIELD,MA,01104-3222,0,14,3,1000,193409,2,0,922921279,1,1,201912.0,9,8,1,0,12,132123310.0,17616265.0,5566826.0,,
47,41866740,MASSACHUSETTS STATE EMPLOYEES CREDIT UNION,% JOHN MORRISSEY,200 REVERE BEACH PKWY,CHELSEA,MA,02150-1608,0,14,3,1000,194206,2,0,922921000,1,1,201212.0,1,6,0,0,8,,,,,
48,41896000,LIBERTY BAY CREDIT UNION,% DEBORAH LLOYD,300 GRANITE STREET,BRAINTREE,MA,02184-3909,0,14,3,1000,193711,2,0,922921000,1,1,201912.0,9,9,1,0,12,669863600.0,56778310.0,28578672.0,W61Z,
49,41950795,WATERTOWN MUNICIPAL CREDIT UNION,,149 MAIN ST,WATERTOWN,MA,02472-4410,0,14,3,1000,194710,2,0,922921000,1,1,201912.0,7,4,1,0,12,9946363.0,277076.0,277076.0,,
50,41961180,FREEDOM CREDIT UNION,% LOUIS J SCUNGIO,1976 MAIN ST,SPRINGFIELD,MA,01103-1010,0,14,3,1000,193409,2,0,922921263,1,1,201812.0,9,9,1,0,12,477578497.0,51965034.0,23161113.0,,
51,41989205,WORCESTER FIRE DEPT CREDIT UNION,,34 GLENNIE ST,WORCESTER,MA,01605-3917,0,14,3,1000,194205,2,0,921000000,1,1,201912.0,8,6,1,0,12,40003126.0,1101461.0,1101461.0,,
52,41990205,WORCESTER CREDIT UNION,% WENDY MATOS SEGURA,520 W BOYLSTON ST,WORCESTER,MA,01606-2026,0,14,3,1000,194104,2,0,922921279,1,1,201912.0,9,6,1,0,12,81833951.0,3906223.0,3906223.0,,
53,42011587,HTM CREDIT UNION,,4 SUMMER ST STE 3,HAVERHILL,MA,01830-5843,0,14,3,1000,0,2,0,263201279,1,1,201812.0,8,5,1,0,12,20487951.0,728115.0,728115.0,,
54,42023790,SOUTHBRIDGE CREDIT UNION,% LINDA JULIEN,205 MAIN ST,SOUTHBRIDGE,MA,01550-2524,0,14,3,1000,194207,2,0,922921279,1,1,201912.0,9,7,1,0,12,189072301.0,9399424.0,9399424.0,,
55,42025425,LYNN POLICE CREDIT UNION,,300 WASHINGTON ST,LYNN,MA,01902-4718,0,14,3,1000,194406,2,0,263279000,1,1,201812.0,8,4,1,0,12,12183362.0,326227.0,326227.0,,
56,42030899,BRIDGEWATER CREDIT UNION,,75 MAIN ST,BRIDGEWATER,MA,02324-1406,0,14,3,1000,195205,2,0,921922000,1,1,201812.0,9,8,1,0,12,378936415.0,14346550.0,14346550.0,,
57,42039851,MEMBERS PLUS CREDIT UNION,% JAMES CONNOLLY,29 HIGH ST,MEDFORD,MA,02155-3801,0,14,3,1000,194108,2,0,263264922,1,1,201812.0,9,8,1,0,12,305910962.0,10442539.0,10442539.0,,
58,42041245,BROOKLINE MUNICIPAL CREDIT UNION,,334 WASHINGTON ST,BROOKLINE,MA,02445-6850,0,14,3,1000,194406,2,0,922211921,1,1,201912.0,8,6,1,0,12,36994970.0,1225638.0,1225638.0,,
59,42077206,BOSTON FIREFIGHTERS CREDIT UNION,% MARY STANTON,60 HALLET ST,DORCHESTER,MA,02124-5408,0,14,3,1000,195007,2,0,921000000,1,1,201812.0,9,8,1,0,12,269283599.0,12742712.0,12742712.0,,
60,42079800,ENERGY CREDIT UNION,,156 SPRING ST,WEST ROXBURY,MA,02132-4811,0,14,3,1000,193412,2,0,922921279,1,1,201912.0,9,7,1,0,12,92552941.0,5167663.0,3695624.0,,
61,42079901,WORKERS CREDIT UNION,% WORKERS CREDIT UNION,815 MAIN ST,FITCHBURG,MA,01420-3111,0,14,3,1000,193806,2,0,922000000,1,1,201812.0,9,9,1,0,12,1797705514.0,121533370.0,87508229.0,W61,
62,42128094,ST ANNES CREDIT UNION OF FALL RIVER MASS,% PETER PANAGGIO CFO,829 S MAIN ST,FALL RIVER,MA,02724-2944,0,14,3,1000,194406,2,0,922921201,1,1,201812.0,9,8,1,0,12,960436825.0,40300410.0,35553798.0,,
63,42207787,COMMUNITY CREDIT UNION OF LYNN,,1 ANDREW ST,LYNN,MA,01901-1101,0,14,3,1000,195601,2,0,922921000,1,1,201912.0,9,7,1,0,12,152118432.0,8514669.0,8514669.0,,
64,42228208,HAVERHILL FIRE DEPARTMENT CREDIT UNION INC,,75 KENOZA AVE,HAVERHILL,MA,01830-4132,0,14,3,1000,194110,2,0,922921279,1,1,201812.0,8,5,1,0,12,17764888.0,665865.0,636547.0,,
65,42264421,LYNN MUNICIPAL EMPLOYEES CREDIT UNION,,3 CITY HALL SQUARE,LYNN,MA,01901-1019,0,14,3,1000,194110,2,0,922921279,1,1,201912.0,6,4,1,0,12,2677001.0,130133.0,130133.0,,
66,42264442,CREDIT UNION OF THE BERKSHIRES,,744 WILLIAMS ST,PITTSFIELD,MA,01201-7402,0,14,3,1000,194505,2,0,922921279,1,1,201912.0,8,5,1,0,12,20683704.0,831443.0,624251.0,,
67,42281295,WALTHAM MUNICIPAL EMPLOYEES CREDIT UNION,% MICHAEL J DAVIS,177 LEXINGTON ST,WALTHAM,MA,02452-4638,0,14,3,1000,195112,2,0,922921279,1,1,201912.0,7,4,1,0,12,8588518.0,253089.0,253089.0,,
68,42305850,GLOUCESTER FIRE DEPARTMENT CREDIT UNION,,8 SCHOOL ST,GLOUCESTER,MA,01930-3529,0,14,1,1000,194307,2,0,921000000,1,1,201812.0,5,3,2,0,12,526031.0,29102.0,29102.0,,
69,42310795,GLOUCESTER MUNICIPAL CREDIT UNION,,9 DALE AVE CITY HALL,GLOUCESTER,MA,01930-3000,0,14,3,1000,194205,2,0,263000000,1,1,201812.0,6,3,1,0,12,1949983.0,74403.0,74403.0,,
70,42314232,QUINCY CREDIT UNION,% CHRISTINE TOBIN,100 QUINCY AVE,QUINCY,MA,02169-6714,0,14,3,1000,194109,2,0,922921279,1,1,201912.0,9,8,1,0,12,574972970.0,21177523.0,21177523.0,,
71,42348884,LEOMINSTER CREDIT UNION,,20 ADAMS ST,LEOMINSTER,MA,01453-5668,0,14,3,1000,195504,2,0,602000000,1,1,201909.0,9,9,1,0,9,722764775.0,52668703.0,32064375.0,,
72,42391206,SHARON CREDIT UNION,,30 POND ST,SHARON,MA,02067-2040,0,14,3,1000,195704,2,0,921000000,1,1,201812.0,9,8,1,0,12,583979434.0,27408115.0,21913538.0,,
73,42393313,HOMEFIELD CREDIT UNION,% PAULINE TRANTER,86 WORCESTER ST,NORTH GRAFTON,MA,01536-1020,0,14,3,1000,0,0,0,0,5,1,201912.0,9,8,1,0,12,154325921.0,13046225.0,6282794.0,,
74,42444639,PREMIER SOURCE CREDIT UNION,% MARJORIE LORING,232 NORTH MAIN ST,EAST LONGMEADOW,MA,01028-1844,0,14,3,1000,194203,2,0,263922201,1,1,201812.0,9,6,1,0,8,62230796.0,3233791.0,3216300.0,W61Z,
75,42495191,BILLERICA MUNICIPAL EMPLOYEES CREDIT UNION,,365 BOSTON ROAD SUITE 107,BILLERICA,MA,01821-1892,0,14,3,1000,197911,2,0,251000000,1,1,201912.0,8,4,1,0,12,15867565.0,427273.0,427273.0,,
76,43414490,TREMONT CREDIT UNION,% NA,333 LONGWOOD AVE,BOSTON,MA,02115-5711,0,14,3,1000,199901,2,0,0,1,1,201912.0,9,8,1,0,12,203534916.0,10236397.0,10236397.0,W60,
77,46017806,HARVARD UNIVERSITY EMPLOYEES CREDIT UNION,% EUGENE J FOLEY,945 MEMORIAL DR,CAMBRIDGE,MA,02138-6123,0,14,3,1000,195008,2,0,922921279,1,1,201912.0,9,8,2,0,12,815945301.0,41742454.0,0.0,,
78,46046376,ILGWU CREDIT UNION INC PRESSERS UNION LOCAL 12,% ANDY PRESS,33 HARRISON AVENUE,BOSTON,MA,02111-2008,0,14,3,1000,196807,2,0,922000000,1,1,201910.0,0,0,2,0,10,0.0,0.0,0.0,,
79,46053292,CABOT BOSTON CREDIT UNION,,2 SEAPORT LN STE 1300,BOSTON,MA,02210-2058,0,14,3,1000,194408,2,0,921000000,1,1,201812.0,7,4,1,0,12,7112025.0,245613.0,245613.0,,
80,46054447,ALPHA CREDIT UNION,,1 DEACONESS RD,BOSTON,MA,02215-5321,0,14,3,1000,194506,2,0,922921279,1,1,201912.0,8,6,1,0,12,31582091.0,1185055.0,1185055.0,,
81,46055566,COMMONWEALTH UTILITIES EMPLOYEES CREDIT UNION,,312 WAREHAM RD,MARION,MA,02738-1133,0,14,3,1000,193410,2,0,263264921,1,1,201912.0,8,6,1,0,12,41463569.0,1353496.0,1353496.0,W61Z,
82,46060147,REVERE FIREFIGHTERS CREDIT UNION,,4 FREEMAN ST,REVERE,MA,02151-1558,0,14,3,1000,195811,2,0,921000000,1,1,201912.0,7,4,1,0,12,7098747.0,197607.0,197607.0,,
83,46061145,RIVER WORKS CREDIT UNION,,947 WESTERN AVE,LYNN,MA,01905-2640,0,14,3,1000,194505,2,0,922921279,1,1,201912.0,9,6,1,0,12,102221120.0,4660468.0,4660468.0,W61Z,
84,46066641,LUSO-AMERICAN CREDIT UNION,,37 TREMONT ST,PEABODY,MA,01960-4429,0,14,3,1000,197203,2,0,922000000,1,1,201912.0,9,6,1,0,12,94533360.0,3965188.0,3965188.0,,
85,50125860,NAVIGANT CREDIT UNION,,1005 DOUGLAS PIKE,SMITHFIELD,RI,02917-1206,0,14,3,1000,198405,2,0,251000000,1,1,201912.0,9,9,1,0,12,2345509867.0,185226194.0,106887466.0,W61,
86,50197075,PAWTUCKET CREDIT UNION,% VALERIE J PIMENTA,1200 CENTRAL AVE,PAWTUCKET,RI,02861-2200,0,14,3,1000,195112,2,0,921000000,1,1,201912.0,9,9,1,0,12,2413396599.0,139319909.0,92968318.0,,
87,50198580,PEOPLES CREDIT UNION,% ROBERT LEONARDI,858 W MAIN RD,MIDDLETOWN,RI,02842-6315,0,14,3,1000,195604,2,0,921000000,1,1,201912.0,9,8,1,0,12,516867627.0,43988178.0,26121137.0,,
88,50252335,RHODE ISLAND CREDIT UNION,% D TAGLIANETTI,160 FRANCIS ST,PROVIDENCE,RI,02903-1118,0,14,3,1000,198802,2,0,921251000,1,1,201912.0,9,8,1,0,12,283119793.0,14156091.0,14156091.0,,
89,50254228,GREENWOOD CREDIT UNION INC,% JOSEPH,2669 POST RD,WARWICK,RI,02886-3039,0,14,3,1000,198806,2,0,921251000,5,1,201812.0,9,8,1,0,12,552002117.0,21957921.0,21957921.0,,ATTN ACCOUNTING DEPT
90,50255222,WESTERLY COMMUNITY CREDIT UNION,% NICOLE BENKO,4979 TOWER HILL RD,WAKEFIELD,RI,02879-2283,0,14,3,1000,199302,2,0,921000000,1,1,201912.0,9,8,1,0,12,326735039.0,14928238.0,14891523.0,,
91,50255777,CRANSTON MUNICIPAL EMPLOYEES CREDIT UNION,,1615 PONTIAC AVE,CRANSTON,RI,02920-4491,0,14,3,1000,198805,2,0,921000000,5,1,201912.0,9,6,1,0,12,58283378.0,3738079.0,2185466.0,W61Z,
92,50263842,OCEAN STATE CREDIT UNION,% TANIA BUTLER,2006 NOOSENECK HILL RD,COVENTRY,RI,02816-6708,0,14,3,1000,199403,2,0,251000000,1,1,201912.0,9,8,1,0,12,290170256.0,13270542.0,13270542.0,,
93,60626338,KIEF PROTECTIVE MUTUAL BENEFIT ASSOCIATION,,701 COTTAGE GROVE RD STE E230 # 4,BLOOMFIELD,CT,06002-4211,2711,14,9,1000,197603,2,0,922921000,5,1,201812.0,5,3,2,0,12,969306.0,33088.0,33088.0,,
94,60634736,SIKORSKY FINANCIAL CREDIT UNION INC,,1000 ORONOQUE LANE,STRATFORD,CT,06614-1394,2711,14,9,1000,0,0,0,0,5,1,201912.0,9,8,1,0,12,775533362.0,34353683.0,34353683.0,,
95,60655039,NUTMEG STATE FINANCIAL CREDIT UNION,,500 ENTERPRISE DR STE 4A,ROCKY HILL,CT,06067-3913,2711,14,9,1000,197603,2,0,921922000,5,1,201812.0,9,8,1,0,12,452366618.0,24610905.0,24610905.0,,
96,60655052,CONNEX CREDIT UNION INC,% KAREN SMITH,PO BOX 477,NORTH HAVEN,CT,06473-0477,2711,14,9,1000,197603,2,0,921922000,5,1,201812.0,9,8,1,0,12,632181049.0,28472831.0,26423901.0,,
97,60659505,FINEX CREDIT UNION,,616 BURNSIDE AVE,EAST HARTFORD,CT,06108-3539,2711,14,9,1000,197603,2,0,921922000,5,1,202003.0,9,7,1,0,3,89315333.0,5809758.0,5809758.0,,
98,60663293,CONNECTICUT STATE EMPLOYEES CREDIT UNION INC,,84 WADSWORTH ST,HARTFORD,CT,06106-1716,2711,14,9,1000,197603,2,0,921922000,1,1,201912.0,9,8,1,0,12,1930928418.0,44722545.0,44722545.0,,
99,60667223,CONNECTICUT COMMUNITY CREDIT UNION INC,% PEGGY / JOYCE / BARBARA,202 SALEM TPKE,NORWICH,CT,06360-6455,2711,14,9,1000,197603,2,0,921922000,1,1,201712.0,8,5,1,0,12,,,,,
100,60677564,NEW HAVEN FIREFIGHTERS CREDIT UNION INC,,PO BOX 413,NEW HAVEN,CT,06513-0413,2711,14,9,1000,197603,2,0,921922000,1,1,201912.0,7,4,1,0,12,7103375.0,332872.0,332872.0,,
101,60696607,ACHIEVE FINANCIAL CREDIT UNION INC,,PO BOX 7030,BERLIN,CT,06037-7030,2711,14,9,1000,197603,2,0,921922000,1,1,201912.0,9,7,1,0,12,131893368.0,8643003.0,8643003.0,,
102,60701899,MUTUAL SECURITY CREDIT UNION INC,,12 PROGRESS DR,SHELTON,CT,06484-6290,2711,14,9,1000,197603,2,0,921922000,1,1,201812.0,9,8,1,0,12,309950951.0,14873778.0,14873778.0,,
103,60709551,METROPOLITAN DISTRICT EMPLOYEES CREDIT UNION INC,,250 MURPHY RD,HARTFORD,CT,06114-2107,2711,14,9,1000,197603,2,0,921922000,1,1,201912.0,8,5,1,0,12,24818274.0,944864.0,944864.0,,
104,60724181,REGIONAL WATER AUTHORITY EMPLOYEES CREDIT UNION INC,,90 SARGENT DR,NEW HAVEN,CT,06511-5918,2711,14,9,1000,197603,2,0,921922000,1,1,201812.0,7,4,1,0,12,6314841.0,167805.0,167805.0,,
105,60759505,COMMUNITY CREDIT UNION OF NEW MILFORD INC,,145C DANBURY RD,NEW MILFORD,CT,06776-3436,2711,14,9,1000,197603,2,0,921922000,1,1,201812.0,8,5,1,0,12,13145320.0,614245.0,614245.0,,
106,60761502,DANBURY CYANAMID EMPLOYEES CREDIT UNION INC,,2 STARR ST,DANBURY,CT,06810-6928,2711,14,9,1000,197603,2,0,921922000,1,1,201812.0,7,4,1,0,12,6383572.0,269270.0,269270.0,,
107,60762028,STATE POLICE CREDIT UNION INC,,321 RESEARCH PKWY STE 202,MERIDEN,CT,06450-8340,2711,14,9,1000,197603,2,0,921922000,1,1,201912.0,9,8,1,0,12,62644166.0,10395554.0,1835185.0,,
108,60767732,COMMUNITY HEALTHCARE CREDIT UNION INC,,48 HAYNES ST,MANCHESTER,CT,06040-4111,2711,14,9,1000,197603,2,0,921922000,1,1,201812.0,8,5,1,0,12,11254098.0,790876.0,790876.0,,
109,60940464,NORWALK HOSPITAL CREDIT UNION INC,,31 1/2 STEVENS ST,NORWALK,CT,06850-3805,2711,14,9,1000,197603,2,0,922921000,5,1,201912.0,8,6,1,0,12,34548909.0,1177888.0,1177888.0,,
110,60991086,STAMFORD HEALTHCARE CREDIT UNION INC,,TANDET CENTER 103,STAMFORD,CT,06902-0000,2711,14,9,1000,197603,2,0,921922000,5,1,201912.0,8,5,1,0,12,18650585.0,944632.0,944632.0,,
111,61029943,SOUNDVIEW FINANCIAL CREDIT UNION INC,,14 RESEARCH DR,BETHEL,CT,06801-1040,2711,14,9,1000,197603,2,0,0,5,1,201912.0,8,6,1,0,12,36872564.0,1753355.0,1753355.0,,
112,66039973,DUTCH POINT CREDIT UNION INC,,195 SILAS DEANE HWY,WETHERSFIELD,CT,06109-1283,2711,14,9,1000,197603,2,0,921922000,1,1,201912.0,9,8,1,0,12,338763138.0,19250376.0,15523882.0,,
113,66041088,NORTHWEST HILLS CREDIT UNION INC,,339 N ELM ST,TORRINGTON,CT,06790-4626,2711,14,9,1000,197603,2,0,921922000,1,1,201912.0,8,6,1,0,12,31147571.0,1549867.0,1549867.0,,
